Datetime,Symbl,Price
2023-10-23 20:02:12.255574,TCS.NS,3410.14990234375
2023-10-23 20:02:13.671965,TCS.NS,3410.14990234375
2023-10-23 20:02:15.083684,TCS.NS,3410.14990234375
2023-10-23 20:02:16.495081,TCS.NS,3410.14990234375
2023-10-23 20:02:17.769371,TCS.NS,3410.14990234375
2023-10-23 20:02:19.192370,TCS.NS,3410.14990234375
2023-10-23 20:03:51.401905,TCS.NS,3410.14990234375
2023-10-23 20:03:52.823161,TCS.NS,3410.14990234375
2023-10-23 20:03:54.106466,TCS.NS,3410.14990234375
2023-10-23 20:03:55.547153,TCS.NS,3410.14990234375
2023-10-23 20:04:58.228616,TCS.NS,3410.14990234375
2023-10-23 20:04:59.632911,TCS.NS,3410.14990234375
2023-10-23 20:05:34.063098,TCS.NS,3410.14990234375
2023-10-25 10:54:53.714436,TCS.NS,3412.0
2023-10-25 10:54:55.666365,TCS.NS,3411.64990234375
2023-10-25 10:54:57.184854,TCS.NS,3412.0
2023-10-25 10:54:58.480019,TCS.NS,3412.0
2023-10-25 10:54:59.853783,TCS.NS,3412.0
2023-10-25 10:55:54.749355,TCS.NS,3411.0
2023-10-25 10:55:56.177316,TCS.NS,3411.85009765625
2023-10-25 10:55:57.619585,TCS.NS,3411.85009765625
2023-10-25 10:55:58.912856,TCS.NS,3411.85009765625
2023-10-25 10:56:39.970034,TCS.NS,3411.5
2023-10-25 10:56:41.366497,TCS.NS,3412.25
2023-10-25 10:56:42.736432,TCS.NS,3411.5
2023-10-25 10:56:44.115456,TCS.NS,3411.5
2023-10-25 10:56:45.518954,TCS.NS,3411.449951171875
2023-10-25 10:56:47.032861,TCS.NS,3411.0
2023-10-25 10:56:48.436939,TCS.NS,3411.0
2023-10-25 10:57:14.099335,TCS.NS,3411.5
2023-10-25 10:57:15.447566,TCS.NS,3411.0
2023-10-25 10:57:16.779098,TCS.NS,3411.0
2023-10-25 10:57:18.144606,TCS.NS,3411.0
2023-10-25 10:57:19.512624,TCS.NS,3411.050048828125
2023-10-25 10:57:20.900465,TCS.NS,3411.5
2023-10-25 10:57:22.271793,TCS.NS,3411.050048828125
2023-10-25 10:57:23.668892,TCS.NS,3411.5
2023-10-25 10:57:25.058706,TCS.NS,3411.550048828125
2023-10-25 10:57:26.432940,TCS.NS,3411.5
2023-10-25 10:57:27.831282,TCS.NS,3411.050048828125
2023-10-25 10:57:29.240666,TCS.NS,3411.050048828125
2023-10-25 10:57:30.634959,TCS.NS,3411.050048828125
2023-10-25 10:57:32.022451,TCS.NS,3411.39990234375
2023-10-25 10:57:33.325759,TCS.NS,3411.39990234375
2023-10-25 10:57:34.710961,TCS.NS,3411.39990234375
2023-10-25 10:57:36.092563,TCS.NS,3411.39990234375
2023-10-25 10:57:37.479240,TCS.NS,3411.39990234375
2023-10-25 10:57:38.850311,TCS.NS,3411.050048828125
2023-10-25 10:57:40.335006,TCS.NS,3411.050048828125
2023-10-25 10:57:41.834204,TCS.NS,3411.85009765625
2023-10-25 10:57:43.184629,TCS.NS,3411.050048828125
2023-10-25 10:57:44.595263,TCS.NS,3411.050048828125
2023-10-25 10:57:46.049302,TCS.NS,3411.949951171875
2023-10-25 10:57:47.367638,TCS.NS,3411.949951171875
2023-10-25 10:57:48.757355,TCS.NS,3411.949951171875
2023-10-25 10:57:50.152826,TCS.NS,3411.050048828125
2023-10-25 10:57:51.540406,TCS.NS,3411.0
2023-10-25 10:57:52.919598,TCS.NS,3411.0
2023-10-25 10:57:54.363626,TCS.NS,3411.0
2023-10-25 10:57:55.745353,TCS.NS,3411.050048828125
2023-10-25 10:57:57.124835,TCS.NS,3411.050048828125
2023-10-25 10:57:58.497751,TCS.NS,3411.050048828125
2023-10-25 10:57:59.854824,TCS.NS,3411.050048828125
2023-10-25 10:58:01.155626,TCS.NS,3411.0
2023-10-25 10:58:02.507690,TCS.NS,3411.050048828125
2023-10-25 10:58:03.917475,TCS.NS,3412.0
2023-10-25 10:58:05.438999,TCS.NS,3411.050048828125
2023-10-25 10:58:06.843513,TCS.NS,3412.0
2023-10-25 10:58:08.290509,TCS.NS,3412.0
2023-10-25 10:58:09.663690,TCS.NS,3412.0
2023-10-25 10:58:11.075598,TCS.NS,3412.0
2023-10-25 10:58:12.467816,TCS.NS,3412.0
2023-10-25 10:58:13.792351,TCS.NS,3412.0
2023-10-25 10:58:15.153779,TCS.NS,3412.0
2023-10-25 10:58:16.564869,TCS.NS,3412.0
2023-10-25 10:58:17.974628,TCS.NS,3411.0
2023-10-25 10:58:19.391891,TCS.NS,3411.85009765625
2023-10-25 10:58:20.878967,TCS.NS,3411.85009765625
2023-10-25 10:58:22.270436,TCS.NS,3411.0
2023-10-25 10:58:23.675853,TCS.NS,3411.0
2023-10-25 10:58:25.012849,TCS.NS,3411.85009765625
2023-10-25 10:58:26.359153,TCS.NS,3411.5
2023-10-25 10:58:27.855671,TCS.NS,3411.5
2023-10-25 10:58:29.204542,TCS.NS,3411.85009765625
2023-10-25 10:58:30.678346,TCS.NS,3411.85009765625
2023-10-25 10:58:32.083586,TCS.NS,3410.699951171875
2023-10-25 10:58:33.476853,TCS.NS,3410.699951171875
2023-10-25 10:58:34.782218,TCS.NS,3411.699951171875
2023-10-25 10:58:36.235615,TCS.NS,3411.699951171875
2023-10-25 10:58:37.675065,TCS.NS,3411.0
2023-10-25 10:58:39.006466,TCS.NS,3411.5
2023-10-25 10:58:40.397452,TCS.NS,3410.5
2023-10-25 10:58:41.789308,TCS.NS,3411.699951171875
2023-10-25 10:58:43.086912,TCS.NS,3411.699951171875
2023-10-25 10:58:44.360591,TCS.NS,3410.89990234375
2023-10-25 10:58:45.692844,TCS.NS,3410.550048828125
2023-10-25 10:58:47.106225,TCS.NS,3410.550048828125
2023-10-25 10:58:48.504919,TCS.NS,3410.199951171875
2023-10-25 10:58:49.857876,TCS.NS,3410.199951171875
2023-10-25 10:58:51.362961,TCS.NS,3410.550048828125
2023-10-25 10:58:52.718849,TCS.NS,3410.14990234375
2023-10-25 10:58:54.115688,TCS.NS,3410.550048828125
2023-10-25 10:58:55.522198,TCS.NS,3410.050048828125
2023-10-25 10:58:56.783540,TCS.NS,3410.60009765625
2023-10-25 10:58:58.129250,TCS.NS,3410.60009765625
2023-10-25 10:58:59.524731,TCS.NS,3410.60009765625
2023-10-25 10:59:00.760478,TCS.NS,3410.60009765625
2023-10-25 10:59:02.180641,TCS.NS,3410.64990234375
2023-10-25 10:59:03.492827,TCS.NS,3410.699951171875
2023-10-25 10:59:04.801340,TCS.NS,3410.699951171875
2023-10-25 10:59:06.223689,TCS.NS,3410.449951171875
2023-10-25 10:59:07.593281,TCS.NS,3410.699951171875
2023-10-25 10:59:08.989041,TCS.NS,3411.550048828125
2023-10-25 10:59:10.316203,TCS.NS,3410.449951171875
2023-10-25 10:59:11.652822,TCS.NS,3410.449951171875
2023-10-25 10:59:13.044300,TCS.NS,3410.5
2023-10-25 10:59:14.356946,TCS.NS,3410.949951171875
2023-10-25 10:59:15.756961,TCS.NS,3410.949951171875
2023-10-25 10:59:17.049366,TCS.NS,3410.5
2023-10-25 10:59:18.368833,TCS.NS,3411.550048828125
2023-10-25 10:59:19.885066,TCS.NS,3411.550048828125
