Datetime,Symbl,Price
2023-09-22 00:00:42.570845,AAPL,174.6649932861328
2023-09-22 00:00:44.160990,AAPL,174.6699981689453
2023-09-22 00:00:45.591741,AAPL,174.6649932861328
2023-09-22 00:00:47.216531,AAPL,174.6649932861328
2023-09-22 00:00:48.723661,AAPL,174.66000366210938
2023-09-22 00:00:50.425085,AAPL,174.64999389648438
2023-09-22 00:00:51.967395,AAPL,174.64999389648438
2023-09-22 00:00:53.346784,AAPL,174.6649932861328
2023-09-22 00:00:54.887067,AAPL,174.66000366210938
2023-09-22 00:00:56.902767,AAPL,174.66000366210938
2023-09-22 00:00:58.415298,AAPL,174.63999938964844
2023-09-22 00:01:00.241210,AAPL,174.63999938964844
2023-09-22 00:01:01.689083,AAPL,174.63999938964844
2023-09-22 00:01:03.188080,AAPL,174.6280975341797
2023-09-22 00:01:04.736463,AAPL,174.64500427246094
2023-09-22 00:01:06.165112,AAPL,174.63499450683594
2023-09-22 00:01:07.787361,AAPL,174.61770629882812
2023-09-22 00:01:09.352392,AAPL,174.62010192871094
2023-09-22 00:01:10.893048,AAPL,174.62010192871094
2023-09-22 00:01:12.415548,AAPL,174.6300048828125
2023-09-22 00:01:13.932238,AAPL,174.6199951171875
2023-09-22 00:01:15.383924,AAPL,174.6199951171875
2023-09-22 00:01:16.883778,AAPL,174.61770629882812
2023-09-22 00:01:18.468594,AAPL,174.61180114746094
2023-09-22 00:01:19.851558,AAPL,174.61090087890625
2023-09-22 00:01:21.371238,AAPL,174.6147003173828
2023-09-22 00:01:22.900997,AAPL,174.61819458007812
2023-09-22 00:01:24.377084,AAPL,174.60000610351562
2023-09-22 00:01:25.983967,AAPL,174.6082000732422
2023-09-22 00:01:27.543106,AAPL,174.6051025390625
2023-09-22 00:01:29.048081,AAPL,174.60000610351562
2023-09-22 00:01:30.806063,AAPL,174.60000610351562
2023-09-22 00:01:32.296908,AAPL,174.58999633789062
2023-09-22 00:01:33.916042,AAPL,174.5850067138672
2023-09-22 00:01:35.467520,AAPL,174.5850067138672
2023-09-22 00:01:37.046266,AAPL,174.60499572753906
2023-09-22 00:01:38.621016,AAPL,174.58999633789062
2023-09-22 00:01:40.155046,AAPL,174.5850067138672
2023-09-22 00:01:41.602659,AAPL,174.5800018310547
2023-09-22 00:01:43.110590,AAPL,174.58889770507812
2023-09-22 00:01:44.690929,AAPL,174.5800018310547
2023-09-22 00:01:46.274754,AAPL,174.5749969482422
2023-09-22 00:01:47.775375,AAPL,174.58790588378906
2023-09-22 00:01:49.238353,AAPL,174.58009338378906
2023-09-22 00:01:50.918848,AAPL,174.59500122070312
2023-09-22 00:01:52.729099,AAPL,174.5800018310547
2023-09-22 00:01:54.453134,AAPL,174.5850067138672
2023-09-22 00:01:56.013076,AAPL,174.58819580078125
2023-09-22 00:01:57.469110,AAPL,174.57000732421875
2023-09-22 00:01:59.350877,AAPL,174.56979370117188
2023-09-22 00:02:00.952666,AAPL,174.60000610351562
2023-09-22 00:02:02.701083,AAPL,174.61000061035156
2023-09-22 00:02:04.376062,AAPL,174.61000061035156
2023-09-22 00:02:05.984617,AAPL,174.625
2023-09-22 00:02:07.670409,AAPL,174.6300048828125
2023-09-22 00:02:09.462215,AAPL,174.63999938964844
2023-09-22 00:02:11.490312,AAPL,174.63499450683594
2023-09-22 00:02:13.286028,AAPL,174.625
2023-09-22 00:02:15.306096,AAPL,174.625
