Datetime,Symbl,Price
2023-10-17 10:21:15.981825,TCS.NS,3525.050048828125
2023-10-17 10:21:17.610881,TCS.NS,3525.050048828125
2023-10-17 10:21:18.964148,TCS.NS,3525.050048828125
2023-10-17 10:21:20.305215,TCS.NS,3525.050048828125
2023-10-17 10:21:21.698652,TCS.NS,3525.050048828125
2023-10-17 10:21:23.094005,TCS.NS,3525.0
2023-10-17 10:21:24.485621,TCS.NS,3525.0
2023-10-17 10:21:25.893691,TCS.NS,3525.0
2023-10-17 10:21:27.653313,TCS.NS,3525.0
2023-10-17 10:21:29.048265,TCS.NS,3525.0
2023-10-17 10:21:30.546665,TCS.NS,3525.0
2023-10-17 10:21:31.954247,TCS.NS,3525.0
2023-10-17 10:21:33.277543,TCS.NS,3525.35009765625
2023-10-17 10:21:34.651886,TCS.NS,3525.35009765625
2023-10-17 10:21:36.062212,TCS.NS,3525.35009765625
2023-10-17 10:21:37.469979,TCS.NS,3525.35009765625
2023-10-17 10:21:38.846297,TCS.NS,3525.35009765625
2023-10-17 10:21:40.168995,TCS.NS,3525.35009765625
2023-10-17 10:21:41.578626,TCS.NS,3525.35009765625
2023-10-17 10:21:43.066005,TCS.NS,3525.35009765625
2023-10-17 10:21:44.493120,TCS.NS,3525.35009765625
2023-10-17 10:21:45.888240,TCS.NS,3525.35009765625
2023-10-17 10:21:47.167588,TCS.NS,3525.35009765625
2023-10-17 10:21:48.635640,TCS.NS,3525.35009765625
2023-10-17 10:21:49.998310,TCS.NS,3525.35009765625
2023-10-17 10:21:51.393587,TCS.NS,3525.0
2023-10-17 10:21:52.833670,TCS.NS,3525.0
2023-10-17 10:21:54.237996,TCS.NS,3525.0
2023-10-17 10:21:55.606508,TCS.NS,3525.0
2023-10-17 10:21:57.014223,TCS.NS,3525.0
2023-10-17 10:21:58.441456,TCS.NS,3525.35009765625
2023-10-17 10:21:59.985446,TCS.NS,3525.35009765625
2023-10-17 10:22:01.554288,TCS.NS,3525.35009765625
2023-10-17 10:22:02.959871,TCS.NS,3525.35009765625
2023-10-17 10:22:04.436506,TCS.NS,3525.35009765625
2023-10-17 10:22:05.801197,TCS.NS,3525.0
2023-10-17 10:22:07.204167,TCS.NS,3525.35009765625
2023-10-17 10:22:08.533626,TCS.NS,3525.75
2023-10-17 10:22:09.895997,TCS.NS,3525.75
2023-10-17 10:22:11.290259,TCS.NS,3525.14990234375
2023-10-17 10:22:12.814737,TCS.NS,3525.14990234375
2023-10-17 10:22:14.158663,TCS.NS,3525.550048828125
2023-10-17 10:22:15.594225,TCS.NS,3525.550048828125
2023-10-17 10:22:16.985783,TCS.NS,3525.25
2023-10-17 10:22:18.423371,TCS.NS,3525.35009765625
2023-10-17 10:22:19.784216,TCS.NS,3525.35009765625
2023-10-17 10:22:21.155531,TCS.NS,3525.14990234375
2023-10-17 10:22:22.518199,TCS.NS,3525.300048828125
2023-10-17 10:22:23.914401,TCS.NS,3525.300048828125
2023-10-17 10:22:25.221324,TCS.NS,3525.300048828125
2023-10-17 10:22:26.613959,TCS.NS,3525.300048828125
