Datetime,Symbl,Price
2023-09-26 10:47:10.447504,^NSEI,19680.75
2023-09-26 10:47:11.697678,^NSEI,19680.900390625
2023-09-26 10:47:12.961121,^NSEI,19680.75
2023-09-26 10:47:14.146160,^NSEI,19680.75
2023-09-26 10:47:15.484430,^NSEI,19680.69921875
2023-09-26 10:47:16.724012,^NSEI,19680.80078125
2023-09-26 10:47:18.145185,^NSEI,19680.099609375
2023-09-26 10:47:19.562924,^NSEI,19679.900390625
2023-09-26 10:47:20.941734,^NSEI,19679.75
2023-09-26 10:47:22.232322,^NSEI,19681.599609375
2023-09-26 10:47:23.603460,^NSEI,19681.44921875
2023-09-26 10:47:24.891535,^NSEI,19681.55078125
2023-09-26 10:47:26.227746,^NSEI,19681.5
2023-09-26 10:47:27.653685,^NSEI,19681.19921875
2023-09-26 10:47:28.985004,^NSEI,19681.19921875
2023-09-26 10:47:30.273762,^NSEI,19681.44921875
2023-09-26 10:47:31.599108,^NSEI,19681.44921875
2023-09-26 10:47:32.892008,^NSEI,19681.80078125
2023-09-26 10:47:34.220755,^NSEI,19681.55078125
2023-09-26 10:47:35.661388,^NSEI,19681.80078125
2023-09-26 10:47:37.049333,^NSEI,19681.30078125
2023-09-26 10:47:38.361810,^NSEI,19681.0
2023-09-26 10:47:39.657801,^NSEI,19680.69921875
2023-09-26 10:47:41.153659,^NSEI,19681.5
2023-09-26 10:47:42.469729,^NSEI,19681.349609375
2023-09-26 10:47:44.008129,^NSEI,19681.349609375
2023-09-26 10:47:45.294172,^NSEI,19681.349609375
2023-09-26 10:47:46.622187,^NSEI,19681.650390625
2023-09-26 10:47:47.912218,^NSEI,19681.5
2023-09-26 10:47:49.209665,^NSEI,19680.69921875
2023-09-26 10:47:50.523901,^NSEI,19680.30078125
2023-09-26 10:47:51.871728,^NSEI,19681.75
2023-09-26 10:47:53.209631,^NSEI,19680.849609375
2023-09-26 10:47:54.495039,^NSEI,19681.650390625
2023-09-26 10:47:55.716473,^NSEI,19681.900390625
2023-09-26 10:47:57.035117,^NSEI,19681.150390625
2023-09-26 10:47:58.497340,^NSEI,19681.25
2023-09-26 10:47:59.864342,^NSEI,19681.19921875
2023-09-26 10:48:01.157574,^NSEI,19681.400390625
2023-09-26 10:48:02.610921,^NSEI,19681.69921875
2023-09-26 10:48:03.993704,^NSEI,19680.599609375
2023-09-26 10:48:05.379643,^NSEI,19681.0
2023-09-26 10:48:06.726047,^NSEI,19680.80078125
2023-09-26 10:48:08.039681,^NSEI,19680.650390625
2023-09-26 10:48:09.313666,^NSEI,19681.55078125
2023-09-26 10:48:10.741191,^NSEI,19681.150390625
2023-09-26 10:48:12.007483,^NSEI,19681.55078125
2023-09-26 10:48:13.211681,^NSEI,19681.55078125
2023-09-26 10:48:14.673729,^NSEI,19680.30078125
2023-09-26 10:48:16.148943,^NSEI,19680.94921875
2023-09-26 10:48:17.453082,^NSEI,19680.900390625
2023-09-26 10:48:18.813377,^NSEI,19681.25
2023-09-26 10:48:20.262922,^NSEI,19680.55078125
2023-09-26 10:48:21.525664,^NSEI,19680.80078125
2023-09-26 10:48:22.875671,^NSEI,19681.19921875
2023-09-26 10:48:24.250592,^NSEI,19680.849609375
2023-09-26 10:48:25.507114,^NSEI,19680.599609375
2023-09-26 10:48:26.853051,^NSEI,19680.19921875
2023-09-26 10:48:28.177837,^NSEI,19680.19921875
2023-09-26 10:48:29.632118,^NSEI,19681.19921875
2023-09-26 10:48:30.942852,^NSEI,19681.0
2023-09-26 10:48:32.409698,^NSEI,19681.05078125
2023-09-26 10:48:33.709888,^NSEI,19681.0
2023-09-26 10:48:34.999030,^NSEI,19680.69921875
2023-09-26 10:48:36.269295,^NSEI,19680.75
2023-09-26 10:48:37.487643,^NSEI,19680.80078125
2023-09-26 10:48:38.761885,^NSEI,19680.30078125
2023-09-26 10:48:39.953748,^NSEI,19680.599609375
2023-09-26 10:48:41.293167,^NSEI,19680.80078125
2023-09-26 10:48:42.509908,^NSEI,19680.099609375
2023-09-26 10:48:43.789933,^NSEI,19680.099609375
2023-09-26 10:48:45.067616,^NSEI,19680.099609375
2023-09-26 10:48:46.380252,^NSEI,19680.0
2023-09-26 10:48:47.685336,^NSEI,19680.19921875
2023-09-26 10:48:48.983224,^NSEI,19679.69921875
2023-09-26 10:48:50.294903,^NSEI,19679.849609375
2023-09-26 10:48:51.557705,^NSEI,19679.849609375
2023-09-26 10:48:52.826778,^NSEI,19680.19921875
2023-09-26 10:48:54.117279,^NSEI,19680.30078125
2023-09-26 10:48:55.408322,^NSEI,19677.599609375
2023-09-26 10:48:56.707186,^NSEI,19676.69921875
2023-09-26 10:48:58.112077,^NSEI,19675.650390625
2023-09-26 10:48:59.423266,^NSEI,19676.349609375
2023-09-26 10:49:00.818196,^NSEI,19676.05078125
2023-09-26 10:49:02.162764,^NSEI,19675.349609375
2023-09-26 10:49:03.605305,^NSEI,19676.75
2023-09-26 10:49:05.069707,^NSEI,19676.25
2023-09-26 10:49:06.337678,^NSEI,19676.25
2023-09-26 10:49:07.588681,^NSEI,19675.150390625
2023-09-26 10:49:08.927936,^NSEI,19675.650390625
2023-09-26 10:49:10.216512,^NSEI,19675.80078125
2023-09-26 10:49:11.516334,^NSEI,19676.150390625
2023-09-26 10:49:12.816481,^NSEI,19676.099609375
2023-09-26 10:49:14.222191,^NSEI,19675.75
2023-09-26 10:49:15.524531,^NSEI,19676.599609375
2023-09-26 10:49:16.781212,^NSEI,19676.099609375
2023-09-26 10:49:18.080508,^NSEI,19676.099609375
2023-09-26 10:49:19.347612,^NSEI,19675.94921875
2023-09-26 10:49:20.589714,^NSEI,19676.05078125
2023-09-26 10:49:21.907951,^NSEI,19675.900390625
2023-09-26 10:49:23.155650,^NSEI,19675.80078125
2023-09-26 10:49:24.421704,^NSEI,19676.099609375
2023-09-26 10:49:25.741474,^NSEI,19676.25
2023-09-26 10:49:27.011768,^NSEI,19675.849609375
2023-09-26 10:49:28.277946,^NSEI,19676.099609375
2023-09-26 10:49:29.549915,^NSEI,19676.80078125
2023-09-26 10:49:30.851112,^NSEI,19675.400390625
2023-09-26 10:49:32.183645,^NSEI,19675.849609375
2023-09-26 10:49:33.577117,^NSEI,19675.80078125
2023-09-26 10:49:34.957747,^NSEI,19675.849609375
2023-09-26 10:49:36.337797,^NSEI,19675.849609375
2023-09-26 10:49:37.518960,^NSEI,19676.349609375
2023-09-26 10:49:38.877827,^NSEI,19675.55078125
